0,1,2,3,4,5,6,7
4.480,uf,74 - 104 m² útiles,3 dormitorios,3 baños,"final de av. rodolfo jaramillo, josé luis caro, padre hurtado",venta,casas
8.997,uf,122 - 139 m² útiles,3 dormitorios,3 baños,"av. santa elena 278, chicureo, colina",venta,casas
14.074,uf,168 - 197 m² útiles,4 - 5 dormitorios,4 - 5 baños,"av. guay guay / a 450m de av. padre sergio correa, chicureo, colina",venta,casas
4.615,uf,84 m² útiles,3 dormitorios,3 baños,"juan de dios malebrán 3595, sótero del río, puente alto",venta,casas
2.895,uf,72 m² útiles,3 dormitorios,2 baños,"avenida ruiz de gamboa 300, cementerio municipal, chillán",venta,casas
5.140,uf,88 - 112 m² útiles,3 dormitorios,3 baños,"san ignacio 500, esquina santa herminia, laguna del sol, padre hurtado",venta,casas
14.975,uf,192 - 222 m² útiles,5 dormitorios,5 baños,"av. chamisero 16.663, chicureo, colina",venta,casas
14.208,uf,164 - 187 m² útiles,3 - 5 dormitorios,3 - 5 baños,"avenida josé rabat 8.600, chicureo, colina",venta,casas
4.525,uf,76 - 94 m² útiles,3 dormitorios,3 baños,"av. escrivá de balaguer 1600, avenida san juan, machalí",venta,casas
4.990,uf,80 - 139 m² útiles,3 - 4 dormitorios,3 baños,"ruta sur 2110 km 36, salida a linderos, buin",venta,casas
4.869,uf,82 - 101 m² útiles,3 dormitorios,2 baños,"camino buin - alto jahuel 1497, buin",venta,casas
4.032,uf,72 - 90 m² útiles,3 dormitorios,3 baños,"camino nos a los morros 655, nos, san bernardo",venta,casas
9.255,uf,129 - 139 m² útiles,3 dormitorios,3 baños,"carretera general san martín km 16,5 con av. rukán, chicureo, colina",venta,casas
2.740,uf,67 - 81 m² útiles,1 - 2 privados,3 baños,"av. párroco waldo alcalde 1351, coquimbo",venta,casas
2.200,uf,"5,000 m² totales","ruta 5 sur kilómetro 975, frutillar",venta,sitios,,
2.200,uf,676 - 938 m² totales,"av. los pescadores 1855, horcón, horcón, puchuncaví",venta,sitios,,
1.990,uf,"5,008 - 7,012 m² totales","graneros de puerto varas s/n, puerto varas",venta,sitios,,
2.610,uf,400 - 488 m² totales,"marte 385, el quisco centro, el quisco",venta,sitios,,
12.900,uf,"812 - 2,221 m² totales","paseo los bravos 4505, los trapenses, lo barnechea",venta,sitios,,
7.569,uf,"1,009 m² totales","av. pie de monte 2800, andalué, san pedro de la paz",venta,sitios,,
990,uf,25 - 363 m² útiles,1 - 2 dormitorios,1 baño,"ruta t-849 km 1.9, río bueno",venta,sitios
1.190,uf,"5,000 m² totales","ruta v-655 (automó) km 0.9, puerto montt",venta,sitios,,
7.600,uf,"1,629 - 1,759 m² totales","calle calafquén s/n, reñaca, viña del mar",venta,sitios,,
2.225,uf,48 m² útiles,1 dormitorio,1 baño,"loteo costa calán, pelluhue, pelluhue",venta,sitios
9.900,uf,"2,044 - 39,422 m² totales","carretera f–30–e s/n, el pangue alto, zapallar",venta,sitios,,
1.095,uf,"5,000 m² totales","ruta v-655 km 0.8, puerto montt",venta,sitios,,
1.250,uf,"5,000 m² totales","ruta v-655 km 0.8, puerto montt",venta,sitios,,
3.125,uf,139 - 189 m² útiles,3 dormitorios,3 - 4 baños,"kilometro 35 - ruta puerto varas a ensenada, puerto varas",venta,sitios
5.900,uf,532 - 575 m² totales,"sergio reiss 17170, chicureo, colina",venta,sitios,,
960,uf,"5,000 m² totales","fundo san miguel, lote 2, los muermos",venta,sitios,,
1.609,uf,140 - 188 m² útiles,3 - 4 dormitorios,4 baños,"sector de loncotraro, villarrica",venta,sitios
3.188,uf,"2,926 - 5,000 m² totales","río blanco, hijuela 1, puerto octay",venta,sitios,,
11.490,uf,"1,504 - 2,060 m² totales","villarrica 1260, reñaca, viña del mar",venta,sitios,,
2.359,uf,"5,000 m² totales","av. circunvalación s/n, linares",venta,sitios,,
1.792,uf,"1,500 - 1,611 m² totales","la guardia s/n, colbún",venta,sitios,,
2.203,uf,"1,001 - 2,000 m² totales","ruta f30-e 12010 mantagua, quintero",venta,sitios,,
3.067,uf,"5,004 - 7,882 m² totales","sector santa elvira, ruta t 313, camino el arenal, valdivia",venta,sitios,,
2.700,uf,"1,000 m² totales","ruta f30 e 12010, mantagua, mantagua, quintero",venta,sitios,,
464,uf,"5,000 - 13,000 m² totales","gorbea quinta faja km 5, loncoche",venta,sitios,,
979,uf,"5,000 - 5,006 m² totales","9j65 + m6h, santa cruz",venta,sitios,,
2.100,uf,"5,000 - 6,835 m² totales","vjhp + 2g9, futrono",venta,sitios,,
1.224,uf,"5,000 - 5,327 m² totales","sector paso de los reyes, santa cruz",venta,sitios,,
772,uf,"5,000 - 5,600 m² totales","camino loncoche-calafquén km 3, loncoche",venta,sitios,,
1.466,uf,"5,000 - 6,440 m² totales","e-869, rinconada",venta,sitios,,
3.900,uf,"4,750 - 5,391 m² totales","camino loreto s/n, camino loreto, calera de tango",venta,sitios,,
1.102,uf,"5,000 m² totales","p67v+gjx requinoa, chile, requínoa",venta,sitios,,
6.000,uf,"1,000 m² totales","km 6.3, camino a penco, ruta 150., ciudad de penco, penco",venta,sitios,,
2.500,uf,"1,000 m² totales","intersección camino huape y ruta 5 sur, chillán",venta,sitios,,
71.954,uf,"14,390 m² totales","avenida alemana con quinta junge, concepción",venta,sitios,,
3.200,uf,800 m² totales,"entrada santa juana, santa juana",venta,sitios,,
